10176
(288608028, 269.41, 163.667)
(288608039, 352.956, 323.402)
(288608141, 402.056, 232.957)
(288634131, 271.786, -346.402)
(288634151, 269.513, -335.775)
(288634152, 266.233, -318.314)
(288634153, 267.293, -305.699)
(288634154, 275.744, -288.526)
(288634155, 282.892, -281.516)
(288634156, 298.767, -272.652)
(288634157, 315.414, -265.861)
(288634158, 332.65, -248.622)
(288634159, 338.55, -233.501)
(288634190, 261.03, -293.822)
(288634191, 237.923, -296.274)
(288634192, 225.475, -295.134)
(288634194, 197.186, -287.748)
(288634934, -663.907, -41.4582)
(288635046, -502.235, 30.6309)
(288635048, -320.886, -81.5313)
(288635050, -214.849, 209.266)
(288635069, -427.311, 78.7776)
(288635344, 807.253, -435.278)
(288635345, 803.532, -393.062)
(288635346, 809.739, -344.98)
(288635347, 818.522, -307.39)
(288635348, 832.212, -289.175)
(288635350, 794.366, -275.289)
(288635363, 794.996, -284.224)
(288635364, 800.767, -303.14)
(288635365, 802.112, -316.757)
(288635366, 790.904, -375.837)
(288635368, 793.838, -438.027)
(288635369, 805.374, -487.451)
(288635370, 807.536, -497.378)
(288635377, 815.642, -536.324)
(289113734, 335.826, -388.355)
(289113745, 25.0377, -694.711)
(387313622, -227.722, -297.817)
(402768708, -170.98, -298.748)
(402768709, -174.829, -337.485)
(402768710, -182.396, -364.778)
(402768712, -198.94, -421.646)
(402768713, -200.561, -473.052)
(402768714, -201.174, -510.932)
(402768715, -198.452, -554.461)
(402768716, -195.053, -597.467)
(402770170, 534.471, -468.591)
(402770171, 530.381, -452.165)
(402770172, 532.6, -435.827)
(402770173, 610.203, -325.335)
(402774743, -58.8864, 31.7062)
(402774745, 41.6955, 43.697)
(402775466, 606.048, 209.161)
(402775467, 599.195, 210.799)
(402775468, 525.761, 172.195)
(402775469, 563.444, 295.988)
(402775500, -436.481, -150.023)
(402775501, -354.85, -253.297)
(402775502, -174.749, -282.765)
(402775509, -262.515, -386.614)
(402775511, -289.37, -412.803)
(402775512, -329.414, -436.797)
(402775513, -262.236, -378.165)
(402775515, -240.664, -357.724)
(402775516, -227.608, -346.308)
(402775517, -218.263, -338.968)
(402775518, -207.154, -332.121)
(402775520, -313.357, -451.725)
(402775521, -285.18, -420.192)
(402775522, -291.551, -394.882)
(402775523, -301.618, -384.14)
(402775524, -313.097, -374.98)
(402775525, -322.293, -377.512)
(402775526, -322.614, -356.698)
(402775527, -201.069, -458.2)
(402775528, -210.176, -457.523)
(402775529, -232.174, -453.842)
(402775530, -248.074, -447.574)
(402775531, -280.593, -424.049)
(402775568, 25.9602, -431.859)
(402775569, -5.17973, -440.535)
(402775570, -34.8683, -446.919)
(402775571, -61.8402, -452.816)
(402775572, -107.522, -470.394)
(402775573, -126.491, -482.388)
(402775574, -149.493, -495.308)
(402775575, -220.696, -516.611)
(402775576, -245.517, -518.924)
(402775577, -264.327, -519.583)
(402775578, -279.933, -513.246)
(402775579, -297.364, -503.52)
(402775580, -314.806, -493.027)
(402775581, -342.719, -476.079)
(402775582, -360.814, -461.404)
(402775583, 80.4219, -510.684)
(402775585, 64.4761, -492.172)
(402775586, 32.763, -455.723)
(402775587, 21.0882, -399.306)
(402775590, -191.039, -387.18)
(402775592, -144.263, -366.067)
(402775593, -128.715, -368.174)
(402775594, -106.291, -382.488)
