10176
(90379359, 1443.924529145821, 1829.1505497256294)
(90379613, 1394.6715665877564, 1862.7912918766961)
(90379614, 1358.3035007013241, 1839.1973447948694)
(90379615, 1354.0878676328575, 1828.9793055905029)
(90379616, 1362.777633874095, 1787.2705539287999)
(90379617, 1374.1090428864118, 1777.2330117793754)
(90379618, 1424.5517457036767, 1777.6224898351356)
(90379619, 1445.6817849422805, 1817.0455065565184)
(90379759, 1147.0031871934189, 1621.2965592741966)
(90380150, 1010.5806870174129, 1790.3305889200419)
(90380348, 1773.4818714153953, 1004.863572139293)
(90380349, 1510.1153259364655, 1133.8846946191043)
(90380350, 1382.4115390543593, 1139.5984282279387)
(90380816, 1216.4838492980925, 1168.2514091888443)
(90380817, 1112.056710501085, 1217.263522756286)
(90381067, 1377.1622484812979, 1096.1721672210842)
(90381086, 1363.7495362909976, 983.05387961026281)
(90381095, 1267.549110537977, 1036.9903995273635)
(111442215, 1036.5965045805788, 1323.0350433401763)
(111442216, 976.62848816812038, 1383.3932640124112)
(111442217, 958.72862551372964, 1451.9337904956192)
(111442620, 1101.3914870442823, 1239.826341255568)
(111443008, 1209.6909147404367, 1052.5381984785199)
(111443012, 1189.638707345468, 1076.4091228507459)
(111443919, 1334.8860516973073, 1165.6748974882066)
(111443920, 1307.3198742341483, 1174.8523557214066)
(111444802, 1340.4796353599522, 987.60695421509445)
(111445022, 1379.0334930123063, 1058.201248286292)
(111446370, 1834.0718159915414, 966.58384288474917)
(111446371, 1806.711851653643, 969.73214211501181)
(111446372, 1724.6256461974699, 972.05051783286035)
(111446373, 1379.1802196258213, 981.15797270089388)
(111447974, 2134.0710705051897, 1022.4877166282386)
(111447975, 2103.9349356261082, 1029.6429047705606)
(111447976, 2078.7081876695156, 1032.35435229633)
(111447977, 2052.2462757907342, 1031.1312289619818)
(111447978, 2024.328565731179, 1024.4185009310022)
(111447980, 1901.8728687225375, 956.25228504370898)
(111447981, 1888.230623829877, 953.43582735117525)
(111447984, 1881.2315504983999, 953.57557577081025)
(122522947, 855.30886971368454, 1659.5037377560511)
(122523494, 985.02720297814813, 1494.6272615427151)
(122523605, 809.24214555940125, 1742.0841082716361)
(122525234, 923.27910585387144, 1571.7091689286754)
(122525235, 888.41870216617826, 1623.091052797623)
(122525425, 904.83174098073505, 1561.5276482207701)
(122528341, 1158.336313854903, 1176.1829564515501)
(122528343, 1140.8294754566159, 1203.9378939606249)
(122528346, 1132.6355902570067, 1227.5645048525184)
(122528348, 1122.2299131439067, 1272.8195558851585)
(122528349, 1099.5991645657923, 1313.3887660438195)
(122528351, 1074.0985254226252, 1360.8413657778874)
(122530856, 980.62187569285743, 1374.5269127283245)
(122535293, 1288.1997659930494, 1003.5414069024846)
(122535567, 1348.8015590755967, 1086.6628019716591)
(122535570, 1279.9900951852323, 1049.1374922664836)
(122535992, 1353.9252603242639, 1074.1596299782395)
(122535994, 1285.7911946106469, 1039.4676700811833)
(122586155, 1423.0135649777949, 1856.3813505880535)
(128664377, 1369.6641485349974, 1852.6283288327977)
(128664380, 1388.076310626464, 1771.3462257944047)
(128664381, 1442.2757492437959, 1799.0816665031016)
(128668309, 2225.7268126645358, 1294.4496075753123)
(128668310, 2155.7952609887579, 1303.0713932113722)
(128668311, 2072.8384297935991, 1318.8595995493233)
(128668312, 1963.4659950719215, 1352.3540479438379)
(128668313, 1936.9212761847302, 1362.0881245518103)
(128668316, 1675.0084180380218, 1513.0452827746049)
(285908605, 2052.7007001677994, 1037.3386743711308)
(285910994, 2082.9717328228289, 1038.7096900930628)
(285951310, 1960.0295179019449, 999.1378826694563)
(285951312, 2035.8868297521258, 1034.4875312866643)
(285951774, 1841.2900866660057, 981.55392094235867)
(285951775, 1870.9937252803938, 962.39536032173783)
(285951777, 1881.6084376386134, 960.34888439904898)
(285951778, 1901.7480371933198, 962.55741484649479)
(285951779, 1927.0661320007639, 977.66348793078214)
(311624102, 1826.3369571076473, 517.52419712208211)
(311624110, 1834.8438956897007, 502.81399381998926)
(311624243, 2297.1390805017436, 897.92808907944709)
(311624244, 2213.2445823097369, 924.89023066405207)
(311624245, 2147.6524429777637, 967.12182800937444)
(311624246, 2087.1656394398306, 1004.3336321553215)
(311624247, 1912.8848333882634, 946.89153795037419)
(311624248, 1922.5512984789675, 905.4203426335007)
(311624249, 1907.1227305885404, 902.29727032501251)
(311624250, 1911.6277307737619, 878.52417310699821)
(311624251, 1898.1916565655265, 848.11035747081041)
(311624252, 1866.4267703632358, 859.73416664917022)
(311624253, 1818.7757362445118, 933.16568526346236)
(311624254, 1668.2113746685209, 949.45571405161172)
(311624255, 1594.5903357389616, 952.22954100742936)
(311624256, 1590.4394390196539, 944.80918350629508)
(311624258, 1570.683670067112, 936.48608329705894)
(311624262, 1547.6658667424927, 960.85548296477646)
(311624265, 1387.6005942847114, 964.53748204465955)
(311624284, 1079.6971864940133, 1136.7578799268231)
(311886214, 2031.3893037243979, 1918.0332560967654)
(311886215, 2006.2577556358883, 1896.7772877588868)
(311886216, 1884.138413410401, 1637.0460762344301)
(311886217, 1882.9876400247449, 1615.438284451142)
(311886218, 1891.0229064311134, 1594.3208001544699)
(311886643, 987.07065815385431, 1787.9787949742749)
(311886862, 858.6199937366182, 1822.0074509307742)
(311887110, 1161.5131334176986, 1996.6121568446979)
(311887112, 1329.8808905350743, 1761.9468657793477)
(311887141, 1094.9740475250874, 1957.0209738845006)
(311887142, 1141.3229541045148, 1880.2938647679985)
(311887143, 1250.2472944572801, 1700.9460542453453)
(311887398, 1066.8495329202851, 1832.780294043012)
